%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.header.seq,field.status.header.stamp,field.status.header.frame_id,field.status.satellites_used,field.status.satellites_visible,field.status.status,field.status.motion_source,field.status.orientation_source,field.status.position_source,field.latitude,field.longitude,field.altitude,field.track,field.speed,field.climb,field.pitch,field.roll,field.dip,field.time,field.gdop,field.pdop,field.hdop,field.vdop,field.tdop,field.err,field.err_horz,field.err_vert,field.err_track,field.err_speed,field.err_climb,field.err_time,field.err_pitch,field.err_roll,field.err_dip,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1704780507644119649,8840,0,,0,0,,0,0,0,0,0,0,36.90411402,118.16644871,25.46,0.0,0.004,0.0,-0.24,-1.05,273.43,194926.9,0.0,0.0,0.001,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780507743434295,8841,0,,0,0,,0,0,0,0,0,0,36.90411402,118.16644871,25.46,0.0,0.004,0.0,-0.24,-1.05,273.43,194927.0,0.0,0.0,0.002,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780507844353171,8842,0,,0,0,,0,0,0,0,0,0,36.90411402,118.16644872,25.46,0.0,0.003,0.0,-0.24,-1.05,273.43,194927.1,0.0,0.0,0.002,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780507943899533,8843,0,,0,0,,0,0,0,0,0,0,36.90411402,118.16644872,25.46,0.0,0.003,0.0,-0.24,-1.05,273.43,194927.2,0.0,0.0,0.002,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780508043847740,8844,0,,0,0,,0,0,0,0,0,0,36.90411402,118.16644873,25.46,0.0,0.003,0.0,-0.24,-1.05,273.42,194927.3,0.0,0.0,0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780508143506477,8845,0,,0,0,,0,0,0,0,0,0,36.90411402,118.16644872,25.46,0.0,0.003,0.0,-0.24,-1.05,273.42,194927.4,0.0,0.0,0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780508244119473,8846,0,,0,0,,0,0,0,0,0,0,36.90411401,118.16644873,25.45,0.0,0.003,0.0,-0.24,-1.05,273.42,194927.5,0.0,0.0,0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780508343617165,8847,0,,0,0,,0,0,0,0,0,0,36.90411401,118.16644873,25.45,0.0,0.003,0.0,-0.24,-1.05,273.43,194927.6,0.0,0.0,0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780508443401327,8848,0,,0,0,,0,0,0,0,0,0,36.904114,118.16644873,25.45,0.0,0.003,0.0,-0.24,-1.05,273.43,194927.7,0.0,0.0,0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780508542719604,8849,0,,0,0,,0,0,0,0,0,0,36.904114,118.16644873,25.45,0.0,0.003,0.0,-0.24,-1.05,273.43,194927.8,0.0,0.0,0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780508643680635,8850,0,,0,0,,0,0,0,0,0,0,36.904114,118.16644873,25.45,0.0,0.003,0.0,-0.24,-1.05,273.42,194927.9,0.0,0.0,0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780508743231406,8851,0,,0,0,,0,0,0,0,0,0,36.904114,118.16644873,25.45,0.0,0.003,0.0,-0.24,-1.05,273.42,194928.0,0.0,0.0,0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780508843939513,8852,0,,0,0,,0,0,0,0,0,0,36.90411399,118.16644873,25.45,0.0,0.003,0.0,-0.24,-1.05,273.42,194928.1,0.0,0.0,0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780508943724843,8853,0,,0,0,,0,0,0,0,0,0,36.90411399,118.16644873,25.45,0.0,0.003,0.0,-0.24,-1.05,273.42,194928.2,0.0,0.0,0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780509042838640,8854,0,,0,0,,0,0,0,0,0,0,36.90411399,118.16644873,25.45,0.0,0.003,0.0,-0.24,-1.05,273.42,194928.3,0.0,0.0,0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780509143467336,8855,0,,0,0,,0,0,0,0,0,0,36.90411399,118.16644873,25.45,0.0,0.003,0.0,-0.24,-1.05,273.42,194928.4,0.0,0.0,0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780509243834822,8856,0,,0,0,,0,0,0,0,0,0,36.90411399,118.16644873,25.45,0.0,0.003,0.0,-0.24,-1.05,273.43,194928.5,0.0,0.0,0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780509343131083,8857,0,,0,0,,0,0,0,0,0,0,36.90411399,118.16644872,25.45,0.0,0.005,0.0,-0.24,-1.05,273.43,194928.6,0.0,0.0,0.002,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
