%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1704780507644091895,8840,1704780507643747110,imu_link,0.002367592907279771,0.009096047067629436,-0.9995084772020488,-0.029907531372722212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017453292519943296,0.0,-0.00017453292519943296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04118793,-0.181423025,9.82430197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780507743416081,8841,1704780507743173689,imu_link,0.002367592907279771,0.009096047067629436,-0.9995084772020488,-0.029907531372722212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034906585039886593,-0.00017453292519943296,0.0005235987755982988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040207265,-0.18240368999999998,9.82037931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780507844313689,8842,1704780507844018989,imu_link,0.002367592907279771,0.009096047067629436,-0.9995084772020488,-0.029907531372722212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017453292519943296,-0.00034906585039886593,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04118793,-0.179461695,9.825282634999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780507943850028,8843,1704780507943575764,imu_link,0.002367592907279771,0.009096047067629436,-0.9995084772020488,-0.029907531372722212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017453292519943296,-0.00017453292519943296,0.00034906585039886593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040207265,-0.18436502,9.825282634999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780508043766709,8844,1704780508043475694,imu_link,0.002366799166284806,0.009096253631996258,-0.9995110831637334,-0.029820312949885176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017453292519943296,-0.0006981317007977319,0.0005235987755982988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04118793,-0.18044236,9.82234064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780508143466065,8845,1704780508143066556,imu_link,0.002366799166284806,0.009096253631996258,-0.9995110831637334,-0.029820312949885176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017453292519943296,-0.0,-0.00017453292519943296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0392266,-0.18240368999999998,9.823321305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780508244032874,8846,1704780508243760018,imu_link,0.002366799166284806,0.009096253631996258,-0.9995110831637334,-0.029820312949885176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005235987755982988,-0.0,0.00034906585039886593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04118793,-0.18044236,9.823321305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780508343545469,8847,1704780508343293268,imu_link,0.002367592907279771,0.009096047067629436,-0.9995084772020488,-0.029907531372722212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017453292519943296,0.00017453292519943296,0.00017453292519943296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040207265,-0.183384355,9.823321305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780508443329453,8848,1704780508443084300,imu_link,0.002367592907279771,0.009096047067629436,-0.9995084772020488,-0.029907531372722212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034906585039886593,-0.0,-0.00017453292519943296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040207265,-0.181423025,9.82430197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780508542685896,8849,1704780508542483507,imu_link,0.002367592907279771,0.009096047067629436,-0.9995084772020488,-0.029907531372722212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005235987755982988,0.00017453292519943296,0.00017453292519943296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040207265,-0.18240368999999998,9.82430197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780508643578433,8850,1704780508643384848,imu_link,0.002366799166284806,0.009096253631996258,-0.9995110831637334,-0.029820312949885176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017453292519943296,-0.0,0.0006981317007977319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040207265,-0.183384355,9.82234064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
