%time,field.header.seq,field.header.stamp,field.header.frame_id,field.id,field.is_rtr,field.is_extended,field.is_error,field.dlc
1704781114469366336,508953,1704781114469024506,,1554,0,0,0,8
1704781114470562731,508954,1704781114470329659,,0,0,0,0,0
1704781114477107210,508955,1704781114476760399,,514,0,0,0,8
1704781114477132389,508956,1704781114476837752,,513,0,0,0,8
1704781114477438391,508957,1704781114477094389,,515,0,0,0,8
1704781114477500448,508958,1704781114477301159,,520,0,0,0,8
1704781114477824320,508959,1704781114477590331,,521,0,0,0,8
1704781114487558590,508960,1704781114487296758,,1554,0,0,0,8
1704781114490615888,508961,1704781114490404504,,0,0,0,0,0
1704781114507584944,508962,1704781114507241568,,514,0,0,0,8
1704781114507610425,508963,1704781114507400982,,513,0,0,0,8
1704781114507865495,508964,1704781114507653956,,515,0,0,0,8
1704781114508103269,508965,1704781114507871723,,520,0,0,0,8
1704781114508405155,508966,1704781114508188913,,1554,0,0,0,8
1704781114508952556,508967,1704781114508740187,,521,0,0,0,8
1704781114508966865,508968,1704781114508770077,,608,0,0,0,8
1704781114509024736,508969,1704781114508828990,,609,0,0,0,8
1704781114511046991,508970,1704781114510776194,,0,0,0,0,0
1704781114521548411,508971,1704781114521238190,,16,0,0,0,3
1704781114521560309,508972,1704781114521278894,,17,0,0,0,3
1704781114521772708,508973,1704781114521496050,,18,0,0,0,3
1704781114522001559,508974,1704781114521724974,,19,0,0,0,3
1704781114522023226,508975,1704781114521751764,,20,0,0,0,3
1704781114522119046,508976,1704781114521907145,,21,0,0,0,3
1704781114522276621,508977,1704781114522046238,,22,0,0,0,3
1704781114522385303,508978,1704781114522192637,,23,0,0,0,3
1704781114522543560,508979,1704781114522351294,,24,0,0,0,3
1704781114522718525,508980,1704781114522522768,,25,0,0,0,3
1704781114522840129,508981,1704781114522663917,,26,0,0,0,3
1704781114523026107,508982,1704781114522864581,,27,0,0,0,3
1704781114523115728,508983,1704781114522985643,,64,0,0,0,3
